"","month","Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)","Food products (10)","Paper and paper products, printing and reproduction of recorded media (17,18)","Transport equipment (29,30)","Other foods (102 to 104,108)","Grain mill and starch products; prepared animal feeds (106,109)","Meat and meat products (101)","Dairy products (105)","Bakery and farinaceous products (107)","Wood and wood products, except furniture (16)","Rubber and plastic products (22)","Other non-metallic mineral products (23)"
"59","2019M11",110.1351006165,137.435058318,57.1168737867,65.4839987404,148.3398039744,144.184485627,148.9840372365,123.941249208,122.4528266402,48.9799645192,92.236223898,57.3884365824
"60","2019M12",108.1516248708,134.6272452986,59.6525840547,65.126441805,142.3260281376,143.4015834426,147.9799325205,136.858755864,121.8652410997,48.5128955632,87.791104674,49.2339299328
"61","2020M01",131.0137926765,170.9810349182,59.6525840547,66.3523512978,186.260001612,153.970762932,164.422147245,129.843213456,122.9228950726,48.730861076,90.9767734512,53.4427075584
"62","2020M02",121.3052008686,133.740567503,56.0391969228,68.702011159,141.6578308224,140.269974705,154.381100085,129.286424376,124.3331003698,49.7584127792,93.9401862672,53.1796589568
"63","2020M03",126.7336608042,166.1043070424,56.1659824362,48.270186279,172.2278579928,163.10462175,153.2514822795,130.177286904,122.9228950726,51.6266886032,111.2020659204,43.2714949632
"64","2020M04",103.8714929985,156.4986309234,54.9615200589,40.5571723868,170.5573647048,151.2306052866,147.2268539835,119.041505304,104.0026406685,28.4289304552,82.605132246,21.5699853312
"65","2020M05",103.1407387764,104.7757595134,47.9883168219,42.7535935614,101.064843924,143.0101323504,150.866733579,109.68744876,114.1091119651,30.2349304184,114.3877346976,40.2025946112
"66","2020M06",114.9371997903,133.740567503,41.3320773684,48.9342205876,138.3168442464,146.794159575,164.422147245,133.6293792,118.1046936405,36.3068268464,89.8654936452,58.2214238208
"67","2020M07",126.5248738836,155.16861423,55.4686621125,52.6630286282,169.2209700744,150.4477031022,147.4778801625,140.644921608,118.5747620729,43.6865163512,89.4950670432,63.0439815168
"68","2020M08",114.4152324888,132.5583304422,53.0597373579,56.442916231,140.6555348496,147.0551269698,146.4737754465,121.602735072,118.1046936405,47.796723164,80.752999236,64.2715416576
"69","2020M09",117.4426428375,153.5430382714,53.8204504383,54.5529724296,165.7129341696,151.2306052866,148.7330110575,128.284204032,119.867450262,51.8757920464,84.9017771784,66.5512962048
"70","2020M10",118.3821839802,157.5330883516,51.2213474136,54.4508133052,176.9052391992,154.3622140242,150.6157074,122.827671048,118.2222107486,55.1764126688,111.498407202,72.1629997056
"71","2020M11",118.9041512817,148.9618696608,56.1025896795,52.5608695038,168.719822088,154.623181419,152.623916832,123.718533576,118.5747620729,58.227929848,88.3837872372,71.9437925376
"72","2020M12",119.8436924244,157.8286476168,56.2927679496,52.2543921306,181.9167190632,144.184485627,153.12596919,121.38001944,117.9871765324,62.8052056168,110.6834686776,67.6911734784
"73","2021M01",121.096413948,175.118864631,54.9615200589,52.4076308172,195.6147640248,163.757040237,155.7617440695,116.480275536,118.8097962891,46.551205948,110.0907861144,51.6890502144
"74","2021M02",119.9480858847,169.6510182248,52.9329518445,49.2406979608,196.6170599976,171.586062081,151.870838295,125.054827368,115.0492488299,34.407413092,103.5712779192,55.0648406016
"75","2021M03",113.4756913461,154.8730549648,54.8347345455,52.9695060014,154.3535798112,173.0213827524,153.2514822795,129.843213456,121.3951726673,35.80861996,106.6087760556,61.7725799424
"76","2021M04",127.7775954072,207.4826041704,59.5257985413,52.6630286282,237.7111948824,171.7165457784,154.2555869955,139.085912184,122.4528266402,63.0231711296,121.7221814172,65.104528896
"77","2021M05",125.1677588997,182.3600666284,51.7918822239,48.7299023388,209.1457596576,171.4555783836,154.7576393535,142.983435744,121.9827582078,55.3009643904,112.98011361,70.14629376
"78","2021M06",122.0359550907,176.0055424266,46.910639958,49.4450162096,197.2852573128,177.0663773718,149.4860895945,145.32194988,120.5725529106,56.7955850496,107.1273732984,68.2611121152
"79","2021M07",119.8436924244,179.4044739764,45.9597486075,32.7930789324,204.1342797936,160.7559151968,154.7576393535,133.295305752,118.8097962891,56.3907919544,110.6834686776,67.8665392128
"80","2021M08",113.788871727,164.6265107164,43.8043948797,32.7930789324,183.9213110088,152.665925958,162.0373985445,144.097013904,114.1091119651,54.1488609656,108.3127384248,66.8143448064
"81","2021M09",119.3217251229,155.6119531278,46.6570689312,36.6240460974,161.5367009496,194.2902254286,157.393414233,157.57130964,117.5171081,82.359825908,111.1279806,73.9604984832
"82","2021M10",120.8876270274,138.6172953788,47.4811747683,36.1643300376,140.321436192,197.2913504688,153.879047727,158.6848878,115.4018001542,81.892756952,125.2782767964,70.8915981312
