"","month","value"
"477","2018M09",1308
"478","2018M10",950
"479","2018M11",943
"480","2018M12",601
"481","2019M01",933
"482","2019M02",1091
"483","2019M03",728
"484","2019M04",709
"485","2019M05",666
"486","2019M06",991
"487","2019M07",590
"488","2019M08",610
"489","2019M09",1412
"490","2019M10",1420
"491","2019M11",960
"492","2019M12",674
"493","2020M01",833
"494","2020M02",1340
"495","2020M03",1238
"496","2020M04",141
"497","2020M05",304
"498","2020M06",651
"499","2020M07",788
"500","2020M08",944
