"","month","netimp_mte","netimp_road"
"1","2019M11",1388291,320968
"2","2019M12",1690744,424782
"3","2020M01",228634,355335
"4","2020M02",1389291,342012
"5","2020M03",-685970,274230
"6","2020M04",382534,102576
"7","2020M05",495149,121950
"8","2020M06",754028,176093
"9","2020M07",1816764,194047
"10","2020M08",264801,136166
"11","2020M09",713369,192556
"12","2020M10",1065477,191193
"13","2020M11",2264131,313488
"14","2020M12",2083053,418795
"15","2021M01",980488,345394
"16","2021M02",931179,296930
"17","2021M03",1767180,349446
"18","2021M04",1367848,290654
"19","2021M05",1321178,305483
"20","2021M06",1646610,318658
"21","2021M07",887527,243064
"22","2021M08",855667,190170
"23","2021M09",444645,211004
"24","2021M10",1207676,230114
