nace_group,factor
"All retail businesses, excluding motor trades",1.829814272
Department stores (4719),3.294277068
"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",2.479846996
"Retail sale of electrical goods (4741 to 4743,4754)",3.943691482
"Retail sale of hardware, paints and glass (4752)",1.730359091
"Retail sale of books, newspapers and stationery (4761,4762)",0.736648292
Bars (5630),0.662084508
Motor trades (45),1.567020914
"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",1.841665486
"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",0.896865229
"Retail sale of textiles, clothing and footwear (4751,4771,4772)",4.369478716
Retail sale of furniture and lighting (4759),1.909132039
"Other retail sales (4753,4763 to 4765,4776 to 4778)",2.151222656
