"","month","All retail businesses, excluding motor trades","Department stores (4719)","Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)","Retail sale of hardware, paints and glass (4752)","Retail sale of electrical goods (4741 to 4743,4754)","Retail sale of books, newspapers and stationery (4761,4762)"
"59","2019M11",217.1989540864,350.1816523284,305.5171499072,237.059195467,660.1739540868,77.2744058308
"60","2019M12",220.3096383488,352.8170739828,306.5090887056,242.7693804673,737.470307134,74.4751423212
"61","2020M01",220.6756012032,348.5345137944,304.5252111088,231.5220463758,718.9349571686,75.3591202716
"62","2020M02",219.57771264,350.840507742,311.4687826976,232.2141900122,737.0759379858,74.033153346
"63","2020M03",216.2840469504,258.2713221312,338.0031455548,241.9042009218,768.2311006936,53.6279956576
"64","2020M04",165.7811730432,80.0509327524,275.263016556,115.5879872788,444.8483991696,19.6685093964
"65","2020M05",189.385777152,165.3727088136,280.9666646468,234.8097286487,573.807110631,12.9650099392
"66","2020M06",226.5310068736,299.1203577744,313.9486296936,296.4105122883,823.0484122934,46.9981610296
"67","2020M07",232.5693939712,299.4497854812,314.1966143932,296.7565841065,871.555817522,50.6077376604
"68","2020M08",234.5821896704,338.3222548836,325.3559258752,296.5835481974,863.2740654098,65.4880331588
"69","2020M09",241.1695210496,354.13478481,354.1221510288,313.5410672892,882.2037845234,62.9097641368
"70","2020M10",239.8886510592,339.310538004,347.17857944,310.0803491072,941.7535259016,61.3628027236
"71","2020M11",210.42864128,236.5290934824,354.8661051276,297.2756918338,886.1474760054,62.4677751616
"72","2020M12",235.8630596608,328.4394236796,331.059573966,297.2756918338,778.4846985468,67.4769835472
"73","2021M01",198.7178299392,198.3154794936,286.9182974372,235.1558004669,785.5833432144,34.0331510904
"74","2021M02",213.3563441152,177.5615339652,326.5958493732,292.9497941063,984.3453939072,36.6114201124
"75","2021M03",215.918084096,212.480870886,332.7954668632,326.8648322899,794.2594644748,46.6298368836
"76","2021M04",212.8073998336,98.82831204,332.5474821636,290.5272913789,774.5410070648,37.4953980628
"77","2021M05",229.4587097088,266.5070148012,320.1482471836,281.3563881966,796.2313102158,25.2670364156
"78","2021M06",247.939833856,421.0086092904,374.7048810956,286.7205013787,779.6678059914,62.5414399908
"79","2021M07",237.3269110784,353.4759293964,355.1140898272,275.127095469,809.6398612546,44.3462271784
"80","2021M08",241.535483904,418.7026153428,355.1140898272,274.7810236508,858.9360047796,66.0036869632
"81","2021M09",242.8163538944,360.0644835324,387.1041160756,280.8372804693,899.161657896,69.6869284232
"82","2021M10",243.5482796032,358.7467727052,368.257278906,243.2884881946,892.4573823766,73.0755105664
