"","national_all_residential_properties","national_houses","national_apartments"
"178",136,135.5,138.3
"179",135.7,135.5,137.3
"180",134.2,134.6,134.2
"181",134.4,134.6,135.7
"182",134.2,134.3,136.3
"183",134.3,134.2,136.9
"184",134.2,134,137.7
"185",134.1,133.8,138.1
"186",134.2,133.8,139.1
"187",134.4,134,139.6
"188",134.5,134.1,139.4
"189",134.8,134.3,139.9
"190",135.4,134.9,140.8
"191",136.2,135.9,140.6
"192",137.2,137,140.9
"193",137.8,137.7,140.2
"194",138.3,138.2,140.6
"195",139,139,141.3
"196",140.2,140.2,142.8
"197",141.3,141.2,144.7
"198",143.4,143.2,146.9
"199",145.8,145.7,149.3
"200",149.2,149.1,151.5
"201",151.5,151.5,153.6
