"","month","both_sexes","male","female"
"1","2020M03",21.3,20,22.9
"2","2020M04",31.5,32.8,29.9
"3","2020M05",29.8,29.6,30
"4","2020M06",25.7,24.2,27.5
"5","2020M07",19.1,18.3,20.1
"6","2020M08",17.1,16.3,18
"7","2020M09",16,15.8,16.1
"8","2020M10",20.3,19.1,21.6
"9","2020M11",20.4,19.5,21.6
"10","2020M12",21.7,21.3,22.2
"11","2021M01",27.1,27.9,26.2
"12","2021M02",27,27.6,26.3
"13","2021M03",25.6,26,25.2
"14","2021M04",23.3,22.9,23.7
"15","2021M05",19.7,19.7,19.6
"16","2021M06",15.8,16,15.6
"17","2021M07",12.6,12.5,12.9
"18","2021M08",11.3,11.2,11.3
"19","2021M09",8.9,9.2,8.6
"20","2021M10",7.9,8.1,7.6
"21","2021M11",6.9,7.2,6.7
